职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
A股短线操盘手（可异地线上）,1-2万,武汉·汉阳区,2年,,广西极犇资本有限公司,金融/投资/证券,民营,少于50人,绩效奖金;弹性工作;周末双休,股票;节假日,证券
投资银行业务,1.2-1.8万,上海·虹口区,2年及以上,本科,上海川禾电子商务有限公司,互联网/电子商务,民营,50-150人,五险一金;员工旅游,市场调研;经济;融资;市场动态;英语听说读写;并购;战略决策,金融 投资银行 金融解决方案
期货操盘手,5千-1万,,1年及以上,,昆明晟航投资有限公司,金融/投资/证券,民营,50-150人,五险一金;绩效奖金;弹性工作;周末双休;补充医疗保险;补充公积金,期货;股票;期货交易;操盘手,证券
金融分析师,8千-1.6万·13薪,泉州·丰泽区,无需经验,大专,中国人寿保险股份有限公司泉州市分公司第一营销服务部,保险,已上市,150-500人,补充医疗保险;员工旅游;通讯补贴;专业培训;绩效奖金;年终奖金;弹性工作,,
A股短线操盘手（可异地线上）,1-2万,西安·新城区,2年,,广西极犇资本有限公司,金融/投资/证券,民营,少于50人,绩效奖金;弹性工作;周末双休,股票;节假日,证券
低风险策略研究员（非量化）,1-2万·15薪,深圳·南山区,2年及以上,硕士,前海富石资产管理（深圳）有限公司,金融/投资/证券,民营,少于50人,五险一金;绩效奖金;年终奖金;专业培训;餐饮补贴;通讯补贴;交通补贴;周末双休;做五休二,,
期货操盘手,5千-1万,,1年及以上,,昆明晟航投资有限公司,金融/投资/证券,民营,50-150人,五险一金;绩效奖金;弹性工作;周末双休;补充医疗保险;补充公积金,期货;股票;期货交易;操盘手,证券
期货操盘手,7千-1.1万,武汉·江汉区,1年及以上,大专,武汉也正企业管理咨询有限公司,专业服务(咨询、人力资源、财会),民营,未知,提成,时间自由;奖金;线上工作;发展平台,
A股短线操盘手（可异地线上）,1-2万,杭州·上城区,2年,,广西极犇资本有限公司,金融/投资/证券,民营,少于50人,绩效奖金;弹性工作;周末双休,股票;节假日,证券
客户经理-上海二分(J13344),8千-1.5万,上海,无需经验,本科,东北证券股份有限公司,金融/投资/证券,已上市,1000-5000人,培训,证券从业资格;基金从业资格,
期货操盘手,5千-1万,,1年及以上,,昆明晟航投资有限公司,金融/投资/证券,民营,50-150人,五险一金;绩效奖金;弹性工作;周末双休;补充医疗保险;补充公积金,,
财经投顾主播（需持证）,1.2-2万,上海·浦东新区,2年,本科,国海证券股份有限公司上海世纪大道证券营业部,金融/投资/证券,国企,少于50人,绩效奖金;专业培训;年终奖金;定期体检;餐饮补贴;员工旅游;补充医疗保险;通讯补贴;带薪年假,,证券投资顾问
A股短线操盘手（可异地线上）,1-2万,深圳·福田区,2年,,广西极犇资本有限公司,金融/投资/证券,民营,少于50人,绩效奖金;专业培训;弹性工作;周末双休,股票;节假日,证券
投资经理,8千-1.5万,长沙·岳麓区,3年及以上,本科,湖南麓盛产业投资基金管理有限公司,金融/投资/证券,合资,少于50人,五险一金;补充医疗保险;交通补贴;餐饮补贴,基金管理;调查报告;熟练使用PPT;尽职调查,投资管理 行业分析
期货操盘手,5千-1万,,1年及以上,,昆明晟航投资有限公司,金融/投资/证券,民营,50-150人,五险一金;绩效奖金;弹性工作;周末双休;补充医疗保险;补充公积金,,
期货交易员,6千-1.2万,广州,1-3年,中技/中专,概率空间（惠州）科技有限公司,金融/投资/证券,民营,未知,周末双休;绩效奖金;股票期权;弹性工作,国内期货;国内商品期货;股指期货;期货交易员;期货操盘手;奖金;居家办公,
A股短线操盘手（可异地线上）,1-2万,苏州·姑苏区,2年,,广西极犇资本有限公司,金融/投资/证券,民营,少于50人,绩效奖金;弹性工作;周末双休,股票;节假日,证券
投资经理岗,7.5千-1.5万,深圳·福田区,5年及以上,硕士,招商证券股份有限公司,金融/投资/证券,国企,10000人以上,,计算机;期货;基金;matlab;编程语言,金融 投资者教育 私募基金 金融工程 投资策略
期货操盘手,5千-1万,,1年及以上,,昆明晟航投资有限公司,金融/投资/证券,民营,50-150人,五险一金;绩效奖金;弹性工作;周末双休;补充医疗保险;补充公积金,,
研究所私募机构销售经理,1.5-2.5万,深圳·福田区,1年及以上,硕士,开源证券股份有限公司,金融/投资/证券,国企,1000-5000人,,客户开拓;会务安排;组织策划,私募基金
期货操盘手,5千-1万,,1年及以上,,昆明晟航投资有限公司,金融/投资/证券,民营,50-150人,五险一金;绩效奖金;弹性工作;周末双休;补充医疗保险;补充公积金,,
投资经理岗,7.5千-1.5万,深圳·福田区,5年及以上,硕士,招商证券股份有限公司,金融/投资/证券,国企,10000人以上,,计算机;期货;基金;matlab;编程语言,金融 投资者教育 私募基金 金融工程 投资策略
交易员,6千-1.2万,温州·鹿城区,无需经验,高中,温州创盈商贸有限公司,金融/投资/证券,民营,少于50人,五险;周末双休;专业培训;弹性工作;股票期权;零食下午茶,风险控制;交易策略;交易;交易计划;定期团建,
期货交易员,8千-1.2万,深圳·罗湖区,1-3年,中技/中专,概率空间（惠州）科技有限公司,金融/投资/证券,民营,未知,周末双休;绩效奖金;股票期权;弹性工作;提成,国内期货交易;期货操盘手;期货交易员;股指期货;奖金;居家办公,
期货操盘手,6千-1.2万,,1年及以上,大专,昆明晟航投资有限公司,金融/投资/证券,民营,50-150人,五险一金;专业培训;绩效奖金;弹性工作,期货;操盘手;交易员,
研究所私募机构销售经理,1.5-2.5万,深圳·福田区,1年及以上,硕士,开源证券股份有限公司,金融/投资/证券,国企,1000-5000人,,客户开拓;会务安排;组织策划,私募基金
交易员,8千-1.2万,成都·锦江区,1年及以上,大专,四川盛曌承祥科技有限公司,计算机服务(系统、数据服务、维修),民营,少于50人,生日福利;下午茶;周末双休,财报数据;技术指标;跟踪市场动态;政策发布;价格波动;公司团建;节假日,投资决策
无责底薪6000/周未双休/客户经理(不加班),1-1.5万,成都·天府新区,1-5年,本科,四川伊惟特麓吟企业管理有限公司,互联网/电子商务,民营,150-500人,周末双休;不加班;周未双休;补贴;提成,资产配置;无责底薪;底薪;法定节假;节假日;六险一金,
期货交易员,8千-1.2万,上海·静安区,1-3年,中技/中专,概率空间（惠州）科技有限公司,金融/投资/证券,民营,未知,周末双休;绩效奖金;股票期权;弹性工作,国内期货;国内商品期货;股指期货;期货操盘手;期货交易员;奖金;居家办公,
客户经理（首席）,1.8-2.6万,上海·浦东新区,5年及以上,本科,中信证券股份有限公司上海环球金融中心证券营业部,金融/投资/证券,国企,10000人以上,入职培训;业务培训;五险一金,证券从业资格;期货;法律法规;开户,市场营销 证券投资 投资顾问 客户服务
大宗商品交易（早9晚4不加班）,6千-1.2万,成都·武侯区,无需经验,高中,成都贵悦农商贸有限公司,互联网/电子商务,民营,50-150人,五险;不加班;双休;下午茶,期货;基金;股票;资金管理;风险控制;交易;黄金;操作账户;交易规则,投资市场
股票交易员,1-1.5万,上海·浦东新区,1-3年,硕士,诺德基金管理有限公司,金融/投资/证券,合资,50-150人,五险一金,编程;系统测试;法律法规;交易;数据维护;交易指令;大宗交易;交易统计;新股申购,经济金融
证券交易员,5千-1万,上海·浦东新区,无需经验,本科,上海赤钥投资有限公司,金融/投资/证券,民营,未知,五险一金;绩效奖金,数据分析;电脑;报告撰写;交易策略;交易操作;分析市场动态;交易数据整理,投资建议 金融市场
投后经理,8千-1.6万,北京·丰台区,3年及以上,本科,青岛金玉浑璞私募基金管理合伙企业（有限合伙）,金融/投资/证券,民营,少于50人,周末双休,法律;投后管理;退出方案;后续管理;资源支持;识别风险,股权投资
产品交易员,6千-1.2万,成都·武侯区,无需经验,,成都贵悦农商贸有限公司,互联网/电子商务,民营,50-150人,周末双休;不加班;五险;双休;下午茶;提成,售卖;线上交易;工作轻松;聚餐;底薪;团建;生日会;节假日,
大宗交易定增研究员,3-5万·13薪,北京·海淀区,5年及以上,本科,北京博岳资产管理有限公司,金融/投资/证券,民营,少于50人,五险一金;绩效奖金,投后管理;风控;项目立项;尽调;定向增发;再融资;减持;对冲;竞价;大宗交易,
社区金融服务经理+朝九晚六+到点下班,8千-1.2万,昆明·五华区,无需经验,大专,中国平安人寿保险股份有限公司云南分公司昆明直属第二支公司,保险,民营,未知,五险一金;提成奖金;周末双休;弹性工作;专业培训;员工旅游;出国机会;年终奖金,商业保险,
金融交易员,5千-1万,成都·武侯区,1年,大专,四川科锐亿达科技有限公司,计算机软件,民营,未知,周末双休;培训,会电脑;节假日休;法定节假;不出差,
投资经理,1-1.5万,深圳,3年及以上,本科,海航期货股份有限公司,金融/投资/证券,民营,50-150人,五险一金;定期体检;绩效奖金;专业培训;带薪年假;周末双休;高额提成;全额社保,全额公积金;发展空间大,
上海世纪大道分公司-产业客户部-产业客户经理G00136,1.2-2万,上海,3-4年,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,期货;基金;补充医保,证券
资产管理中心-股权投资经理,1.8-2万,上海·虹口区,3年及以上,硕士,国华人寿保险股份有限公司,保险,民营,1000-5000人,带薪病假,半导体;保险;ai;理工科;理工;生物医药;cfa;投后管理;新能源;结婚礼金,金融 股权投资
理财经理,6千-1万,杭州·上城区,1年及以上,本科,华金证券股份有限公司,金融/投资/证券,国企,500-1000人,,经济;拜访客户;资产配置方案,营销 金融 客户开发 证券行业 金融产品 销售渠道 金融理财
交易操作员,8-9千,北京,无需经验,本科,信雅达（杭州）计算机服务有限公司,贸易/进出口,已上市,5000-10000人,五险一金;周末双休;假日福利,信托;经济;文职;数字;节假日休;上市企业;早九晚六;法定节假,金融 投资
无锡高净值客户经理,6-12万/年,无锡·梁溪区,5年及以上,本科,安联人寿保险有限公司江苏分公司,保险,外资（欧美）,50-150人,,保险,
社区综合金融服务经理,1.5-3万,上海·静安区,10年及以上,大专,中国人寿保险股份有限公司上海市黄浦支公司,保险,民营,5000-10000人,年终奖;五险一金;年金;培训;过节福利;提成;补充医疗保险;员工旅游,无责底薪;保险;津贴;年度旅游;上五休二,
初级交易员,5千-1万,成都·武侯区,无需经验,高中,成都贵悦农商贸有限公司,互联网/电子商务,民营,50-150人,专业培训;周末双休;节日福利,数据分析;经济;数学;交易操作;跟踪市场动态;交易决策;交易流程,金融 金融市场
贵州分公司-财富客户部-客户经理G00213,8千-1.5万,贵阳·观山湖区,无需经验,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,期货;基金;市场开发,财富管理
金融交易员,7千-1.1万,,1年及以上,中技/中专,武汉也正企业管理咨询有限公司,专业服务(咨询、人力资源、财会),民营,未知,提成,期货;交易;奖金;时间自由;发展平台;线上工作,
高级投资发展经理,1.3-1.8万,西安·高新技术产业开发区,5-10年,本科,深圳东海万银股权投资基金管理有限公司,金融/投资/证券,民营,50-150人,五险一金;定期体检;年终奖金;餐饮补贴;交通补贴;节日福利;周末双休,,
研究所公募机构销售经理,1.5-2.5万,北京·西城区,1年及以上,硕士,开源证券股份有限公司,金融/投资/证券,国企,1000-5000人,,公募基金;客户开拓;会务安排;组织策划,
投后管理经理,1.2-1.5万,北京·海淀区,3-5年,本科,北京翠微私募基金管理有限公司,金融/投资/证券,国企,少于50人,五险一金;补充医疗保险;餐饮补贴;通讯补贴;绩效奖金;定期体检;年终奖金,投后管理;诉讼;仲裁;法律法规,
投资经理助理,1.1-1.7万·15薪,上海·浦东新区,3年及以上,本科,上海谷英人力资源服务有限公司,计算机软件,外资（欧美）,未知,,基金管理;投后管理;财务管理;CFA或CPA或;行业调查;日语N1;日本留学更佳;日语专业可,外资金融机构 金融专业
交易投资分析师,8千-1.6万,西安,无需经验,本科,正利（西安）投资有限公司,金融/投资/证券,民营,50-150人,五险一金;绩效奖金;年终奖金;专业培训;员工旅游;带薪年假;周末双休;节日福利;弹性工作,交易,
投后经理,1-2万,武汉·洪山区,3年及以上,本科,四川新南泰企业管理咨询有限公司,专业服务(咨询、人力资源、财会),民营,未知,,管理;财务;会计;经济;法律;市场拓展;cfa;投后管理;cpa,金融
研究所机构销售经理,1.5-2.5万,上海·浦东新区,1年,硕士,开源证券股份有限公司,金融/投资/证券,国企,1000-5000人,,公募基金;客户开拓;会务安排;组织策划,
智能制造投资经理,1.2-2万,南京·建邺区,3年及以上,硕士,南京峰岭股权投资基金管理有限公司,金融/投资/证券,民营,少于50人,五险一金;补充医疗保险;交通补贴;餐饮补贴;通讯补贴;定期体检;年终奖金;周末双休,CPA;CFA;智能制造;新能源,
投资经理,6千-1.2万,广州·番禺区,2年及以上,本科,湾顶会产业创新中心（广州）有限公司,多元化业务集团公司,民营,少于50人,五险一金;绩效奖金;年终奖金;专业培训,尽职调查;市场拓展;并购;上市;基金,金融 投资 股权投资 风险投资
内盘实盘交易员双休,6千-1万,成都·武侯区,无需经验,中技/中专,成都玖行商业管理有限公司,金融/投资/证券,民营,50-150人,绩效奖金;专业培训;年终奖金;弹性工作,电脑;技术软件;交易;订单;基金;股票;期货;分析行情;趋势,证券
研究所机构销售经理,1.5-2.5万,深圳·福田区,1年,硕士,开源证券股份有限公司,金融/投资/证券,国企,1000-5000人,,公募基金;客户开拓;会务安排;组织策划,
业务经理,1-2万,上海·黄浦区,1年,本科,申银万国期货有限公司,金融/投资/证券,国企,500-1000人,五险一金;补充医疗保险;交通补贴;餐饮补贴;专业培训;绩效奖金;年终奖金;定期体检;弹性工作;补充公积金,,销售
首席客户经理（财富管理方向）,30-60万/年,上海·黄浦区,3-4年,本科,中信证券股份有限公司上海黄浦区淮海中路证券营业部,金融/投资/证券,已上市,10000人以上,补充医疗保险;绩效奖金,基金,金融机构 产品销售 金融产品 营销 上市公司 头部证券公司 财富管理
机构业务经理,30-60万/年,惠州·惠城区,2年及以上,本科,广发证券股份有限公司惠州下埔路证券营业部,金融/投资/证券,民营,少于50人,五险一金;绩效奖金;定期体检;年终奖金;餐饮补贴;补充医疗保险;交通补贴;带薪年假;补充公积金;节日福利;做五休二,,
投资发展经理/主管,8千-1.5万,西安·高新技术产业开发区,5年及以上,本科,深圳东海万银股权投资基金管理有限公司,金融/投资/证券,民营,50-150人,五险一金;年终奖金;餐饮补贴;交通补贴;节日福利;周末双休;项目提成,,
自营投资经理,3千及以下,上海,5年及以上,硕士,宁波力易达人力资源服务有限公司,专业服务(咨询、人力资源、财会),民营,50-150人,,交易;信用债;利率债;数理;美元债;配置;薪资面议,金融 银行 投资
期权经纪人-双休,8千-1.5万,武汉·江汉区,2年及以上,大专,湖北阮煦科技有限公司,贸易/进出口,民营,未知,双休;提成,市场分析;市场动态;奖金;朝九晚六,投资建议 投资策略 投资分析 投资机会 金融市场
交易员,5千-1万,武汉·青山区,无需经验,大专,湖北锦民实业发展有限公司,金融/投资/证券,民营,未知,,,
助理交易员岗,1-2万·14薪,上海·浦东新区,3年及以上,本科,上海神凯投资管理有限公司,贸易/进出口,民营,少于50人,五险一金;绩效奖金,期货交易员;期货研究员;期货策略师;有色金属;新能源金属;高级业务员;基本面研究;交易策略,
财富管理部经理,8千-1.6万,北京·朝阳区,3-4年,本科,申银万国期货有限公司,金融/投资/证券,国企,500-1000人,五险一金;绩效奖金;交通补贴;专业培训;补充医疗保险;节日福利;周末双休;带薪休假,期货;基金,金融 证券
初级交易员 双休,6-8千,成都·高新区,无需经验,高中,成都澜幽上元科技有限公司,计算机软件,民营,50-150人,双休;周末双休;绩效奖金,市场分析;交易策略;监控市场动态;现货交易;交易决策;市场趋势;交易安全;市场,
场外期权交易员,40-50万/年,上海·黄浦区,1年及以上,本科,厦门象屿股份有限公司,贸易/进出口,国企,5000-10000人,,,
投资经理,1.5-1.8万·16薪,无锡·新吴区,3年及以上,硕士,江苏中科物联网科技创业投资有限公司,金融/投资/证券,国企,少于50人,五险一金;绩效奖金;年终奖金;专业培训;员工旅游;定期体检;餐饮补贴,硬科技;半导体,
直播分析师（贵金属、黄金方向）,20-40万/年,广州·天河区,2年及以上,本科,中州期货有限公司,金融/投资/证券,国企,150-500人,年终奖金;补充公积金;定期体检;员工旅游;交通补贴;五险一金;餐饮补贴;带薪年假;培训;节假日福利,工作氛围好,
期货业务经理,6千-1.2万,厦门·思明区,2年及以上,本科,华泰期货有限公司,金融/投资/证券,国企,500-1000人,五险一金;餐饮补贴;定期体检;绩效奖金,开拓市场;基金销售;市场研究,客户服务
北京朝阳分公司-机构客户部-机构销售客户经理G00248,1.2-1.8万,北京,3-4年,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,期货;基金;补充医保,证券
交易员操盘手,8千-1.5万·14薪,无锡·江阴市,2年及以上,本科,苏州鸿海石化有限公司,贸易/进出口,民营,50-150人,五险一金;绩效奖金,数据分析;理工科;英语听说读写;收集市场信息;交易指令;市场行情;下单,金融 宏观经济数据
股票/期货交易员,5千-1万,广州·天河区,1-3年,本科,广州鑫舟化工科技有限公司,石油/化工/矿产/地质,民营,少于50人,五险一金;带薪年假;绩效奖金,数据分析;期货;化工;经济;风险管理;交易策略;交易;期货交易,金融 金融产品
期货业务经理,6千-1.2万,昆明·西山区,2年及以上,本科,华泰期货有限公司,金融/投资/证券,国企,500-1000人,五险一金;餐饮补贴;定期体检;绩效奖金,开拓市场;基金销售;市场研究,客户服务
场外衍生品业务经理,8千-1.2万,南京·玄武区,1年及以上,本科,东海期货有限责任公司,金融/投资/证券,国企,150-500人,,期货;产品设计;维护客户关系;风控;风险识别;场外衍生品;资格证书;产业资源,金融行业
机构业务经理,8千-1.6万,宁波·鄞州区,1年,本科,中信建投期货有限公司,金融/投资/证券,国企,500-1000人,周末双休;五险一金;带薪年假;节日福利;餐饮补贴;补充医疗保险;工会福利;定期体检;绩效奖金;通讯补贴,,
高级投资经理,30-38万/年,武汉·武昌区,5-10年,硕士,武汉众道联恒人力资源有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,,尽职调查;尽职调查报告;股权转让;股权并购;股权转让协议;经理级;中基协备案;学历认证,投资 投资决策
商务BD经理（金融场景支付）,1-2万,深圳·南山区,1年,本科,通联支付网络服务股份有限公司深圳分公司,金融/投资/证券,外资（欧美）,1000-5000人,,,
上海世纪大道分公司-财富客户部-财富经理G00314,1.2-2万,上海,1年及以上,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,理财;保险;基金;补充医保,
金融产品经理,1.2-1.5万·14薪,上海·黄浦区,3年及以上,硕士,上海恒基浦业资产管理有限公司,金融/投资/证券,民营,少于50人,五险一金;绩效奖金;年终奖金;定期体检;餐饮补贴;补充医疗保险;交通补贴;带薪年假;周末双休;节日福利,,金融 私募
交易员,8千-1.5万,长沙·开福区,1年及以上,本科,湖南群诚信息科技有限公司,计算机软件,民营,少于50人,员工旅游;节日福利;带薪年假;五险,节假日,
期货研究员,7千-1.1万,武汉·江汉区,1年及以上,大专,武汉也正企业管理咨询有限公司,专业服务(咨询、人力资源、财会),民营,未知,提成,期货;数据;交易策略;交易;宏观;期货交易;账户操作;交易决策;奖金;时间自由;发展平台;线上工作,
菁英经理人,1.5-3万,杭州·上城区,3年,本科,中国人寿保险股份有限公司杭州市分公司,金融/投资/证券,已上市,500-1000人,培训管理;免费培训;双休,需求分析;基金;理财;时间管理;组织管理;组建团队;队伍建设,金融行业 金融理财
投资经理（硬科技/生命健康等）(J12511),1.5-2.5万,武汉·洪山区,3年及以上,本科,武汉东湖高新集团股份有限公司,房地产,国企,1000-5000人,交通补贴;员工食堂,六险两金,
合规风控经理（私募证券方向）,1.5-3万·15薪,深圳·福田区,5年及以上,本科,前海股交投资控股（深圳）有限公司,金融/投资/证券,国企,50-150人,周末双休;专业培训;节日福利,财务;法律;风险管理;风险控制;公募基金;风控;尽调;风险识别,金融 私募基金
浙江分公司-副总经理兼金融机构总监G00588,2.5-5万,杭州,3-4年,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,,
信托产品经理/双休,1.4-1.8万,广州,3年及以上,本科,深圳市睿服科技有限公司,计算机软件,民营,1000-5000人,双休,基金;信托;分析报告;产品研发;跟踪行业动态;业务方案;产品经理;需求分析,银行
资深运营经理,1-2万,上海·浦东新区,3年及以上,本科,上海弈倍私募基金管理有限公司,金融/投资/证券,民营,少于50人,五险一金;补充医疗保险;定期体检;零食下午茶,子女医疗保险,
机构业务经理,6千-1.2万,漳州,1年及以上,本科,中信建投期货有限公司,金融/投资/证券,国企,500-1000人,交通补贴;餐饮补贴;绩效奖金;六险二金;带薪年假;节日福利;周末双休;健康体检;工会福利;生日福利,,
交易员,1.4-2.1万,杭州·上城区,无需经验,,杭州恒赢自有资金投资有限公司,电子技术/半导体/集成电路,民营,未知,周末双休,时间自由;无责底薪;节假日;法定节假,
期货交易员,7千-1.1万,武汉·江汉区,1年及以上,,武汉也正企业管理咨询有限公司,专业服务(咨询、人力资源、财会),民营,未知,提成,期货;数据;交易策略;交易;宏观;期货交易;账户操作;交易决策;时间自由;奖金;线上工作;发展平台,
客户经理（财富管理）,1.2-1.8万,上海·浦东新区,3年及以上,本科,中信证券股份有限公司上海世博馆路证券营业部,金融/投资/证券,已上市,10000人以上,入职培训;五险一金;补充医疗保险,管理;证券从业资格;经济,销售 金融 银行 证券行业 金融行业 金融产品
产品经理（粤财信托）,1.5-1.8万,广州·越秀区,3年及以上,本科,深圳市睿服科技有限公司,计算机软件,民营,1000-5000人,,计算机;基金;信托;分析报告;产品研发;跟踪行业动态;业务方案,
交易员,1.4-2.1万,上海,无需经验,,杭州恒赢自有资金投资有限公司,电子技术/半导体/集成电路,民营,未知,周末双休,时间自由;无责底薪;节假日;法定节假,
首席客户经理,1.5-3万,上海·浦东新区,3年及以上,本科,中信证券股份有限公司上海浦东新区联洋证券营业部,金融/投资/证券,已上市,10000人以上,五险一金;绩效奖金;专业培训;定期体检;年终奖金;餐饮补贴;补充医疗保险;通讯补贴;交通补贴;带薪年假;节日福利,,
渠道经理,8千-1.6万,上海·长宁区,1年,本科,招商证券股份有限公司上海娄山关路证券营业部,金融/投资/证券,已上市,10000人以上,五险一金;专业培训;年终奖金;绩效奖金;补充公积金;交通补贴,理财;基金,证券 银行
芜湖分公司-机构客户部-客户经理G00375,5千-1万,济南,1年,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,,
期货业务经理,6千-1.2万,太原·小店区,2年及以上,本科,华泰期货有限公司,金融/投资/证券,国企,500-1000人,五险一金;餐饮补贴;定期体检;绩效奖金,,机构客户服务 金融服务
理财经理（南通农商行）,1.5-1.8万,南通·崇川区,2年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),合资,5000-10000人,五险一金;补充医疗保险;带薪年假;带薪病假,基金;保险;经济;财会;afp;cfp;外汇,金融 客户服务 营销推广
投融资经理,1-1.2万,昆明·呈贡区,5年及以上,本科,云南银河泰瑞实业有限公司,农/林/牧/渔,民营,50-150人,餐饮补贴;通讯补贴,财务;方案设计;尽职调查;交易谈判;融资项目,金融 金融行业 投资 投融资 投资建议书
杭州萧山分公司-机构客户部-客户经理,6千-1.2万,杭州,1年,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,,
初级交易员双休早九晚四,6千-1.2万,成都·武侯区,无需经验,大专,成都玖行商业管理有限公司,金融/投资/证券,民营,50-150人,双休;五险;绩效奖金,交易操作;跟踪市场动态;交易决策;交易流程;订单;期货;现货;股票,金融 证券
项目经理,7.5千-1.5万,上海·浦东新区,1年及以上,硕士,华泰期货有限公司,金融/投资/证券,国企,500-1000人,五险一金;补充医疗保险;餐饮补贴;绩效奖金;定期体检;周末双休;节日福利;企业年金,,
银行编制理财经理（苏州）,1.5-3万,苏州·姑苏区,2年及以上,本科,苏州市新视野人力资源有限公司,外包服务,民营,5000-10000人,五险一金;绩效奖金;节日福利;专业培训,理财经理;财富业务;基金保险;afp;cfp,银行 金融产品 投资理财 证券
东北分公司-副总经理（Citicsf）,1.5-3万,沈阳,5-7年,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,,
机构客户经理,8千-1.5万,上海·黄浦区,1年及以上,本科,华闻期货有限公司,金融/投资/证券,国企,150-500人,,期货;期货从业资格;市场开发;市场开拓;市场信息;期货行业;资管;客户渠道,客户服务 营销策略 上市公司
营业部副总兼财富管理总监,1.2-1.5万,成都,1年及以上,本科,东海期货有限责任公司,金融/投资/证券,国企,150-500人,,谈判;期货从业资格;公关;对接客户;线上直播;基金从业资格,财富管理 销售落地
私人财富顾问/经理,7.5千-1.5万,成都,3年及以上,本科,开源证券股份有限公司,金融/投资/证券,国企,1000-5000人,五险一金;专业培训;定期体检;餐饮补贴,证券从业资格;服务;投教;基金从业资格;考核,金融 金融行业 金融理财
浙江分公司-副总经理兼渠道总监G00589,2.5-5万,杭州,3-4年,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,,
理财经理（南通农商银行招聘）,1.5-1.8万,南通·崇川区,2年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),合资,5000-10000人,,基金;保险;经济;客户资源;财会;风险识别;afp;体检,金融 银行 营销推广
期货业务经理,6千-1.2万,石家庄·桥西区,2年及以上,本科,华泰期货有限公司,金融/投资/证券,国企,500-1000人,五险一金;绩效奖金;定期体检;餐饮补贴;带薪年假,客户维护;开拓市场;业务管理;组建团队,营销 活动策划
私人财富顾问/经理,7.5千-1.5万,哈尔滨,3年及以上,本科,开源证券股份有限公司,金融/投资/证券,国企,1000-5000人,五险一金;专业培训;定期体检;餐饮补贴,证券从业资格;服务;投教;基金从业资格;考核,金融 金融行业 金融理财
浙江分公司-副总经理兼产业总监G00590,2.5-5万,杭州,3-4年,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,,
股票交易员 早九晚五 月入三万,3-5万,深圳,1年及以上,高中,深圳前海佳世财富管理有限公司,金融/投资/证券,民营,50-150人,五险一金;股票期权;弹性工作;年终奖金;绩效奖金;交通补贴;餐饮补贴,,
客户经理(J13040)-上海峨山,5千-1万,上海·浦东新区,无需经验,本科,东北证券股份有限公司,金融/投资/证券,已上市,1000-5000人,五险一金;补充医疗保险;交通补贴;专业培训;绩效奖金;年终奖金,证券从业资格;基金从业资格,客户经理 证券投资
私人财富顾问/经理,7.5千-1.5万,福州,3年及以上,本科,开源证券股份有限公司,金融/投资/证券,国企,1000-5000人,五险一金;专业培训;定期体检;餐饮补贴,证券从业资格;服务;投教;基金从业资格;考核,金融 金融行业 金融理财
贵州分公司-产业客户部-客户经理G00825,8千-1.5万,贵阳·观山湖区,无需经验,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;餐补;通讯补贴;带薪年假;补充医疗保险;定期体检;节日福利,,
现货交易员（双休早九晚三）,6-8千,成都·高新区,无需经验,高中,成都澜幽上元科技有限公司,计算机软件,民营,50-150人,五险一金;绩效奖金;专业培训,市场分析;交易策略;监控市场动态;现货交易;交易决策;市场趋势;交易安全;市场,
证券代表兼融资经理,1-2万,上海,2年及以上,本科,江西春光新材料科技股份有限公司,制药/生物工程,民营,150-500人,五险一金;绩效奖金,财务;经济;法律;融资;财务报表分析;融资方案;融资渠道;信息披露;信用风险,金融
